,x,y,theta,v
448,-0.057942,1.147372,0.108833,-6.427188
449,-0.711478,1.122803,-0.032828,-6.663722
450,-1.345334,-2.204167,1.75088,-0.799796
451,-1.282389,-2.388162,2.032994,-1.151233
452,7.454419,5.418937,1.518873,5.225819
453,7.46349,5.903125,1.587049,4.461514
454,-5.740589,1.041199,-0.966101,-5.129822
455,-6.08157,1.471458,-0.838017,-5.857493
456,2.35201,0.464949,-0.011265,-3.523142
457,1.818962,0.518094,-0.20804,-1.84213
458,9.419893,0.18836,0.042241,6.413349
459,10.04085,0.209138,0.024465,6.012898
460,-7.133881,0.791827,-0.450296,-2.962548
461,-7.685432,1.015894,-0.321698,-2.994834
462,3.841433,-3.105052,-1.00775,7.557274
463,4.19113,-3.751971,-1.143932,7.161826
464,-6.04209,-1.567534,-1.734205,2.444361
465,-5.998005,-1.958108,-1.137429,1.544105
466,7.46349,5.903125,1.587049,4.461514
467,7.492746,6.330178,1.415398,4.110092
468,3.841433,-3.105052,-1.00775,7.557274
469,4.17009,-3.774878,-1.22233,7.393633
470,-6.08157,1.471458,-0.838017,-5.857493
471,-6.637062,2.699577,-1.4258,-7.81621
472,1.154685,4.33183,1.977081,2.677697
473,1.096498,4.540942,1.684935,1.678652
474,-1.282389,-2.388162,2.032994,-1.151233
475,-1.208494,-2.516703,2.1438,-1.815607
476,2.35201,0.464949,-0.011265,-3.523142
477,2.012073,0.43723,0.175955,-3.308127
478,-6.04209,-1.567534,-1.734205,2.444361
479,-6.079183,-1.764781,-1.782664,1.57011
480,0.565206,1.120763,-0.196884,-6.095824
481,-0.429518,1.46361,-0.481664,-4.461027
482,-6.637062,2.699577,-1.4258,-7.81621
483,-6.730953,3.444278,-1.465504,-7.196705
484,3.587714,1.398129,0.008449,6.654679
485,4.72168,1.107859,-0.531965,5.193518
486,1.799747,3.177484,0.49144,0.465626
487,1.819465,3.188473,0.544079,-0.014132
488,7.468873,5.977768,1.569895,5.955749
489,7.508776,6.55978,1.433878,5.720821
490,5.364672,0.213031,-0.633046,4.666788
491,5.719484,-0.12559,-0.886738,5.168841
492,-1.208494,-2.516703,2.1438,-1.815607
493,-1.113214,-2.656989,2.192168,-1.576386
494,4.78796,-4.274429,-0.772731,7.52186
495,6.0417,-5.036536,-0.317124,7.277787
496,6.0417,-5.036536,-0.317124,7.277787
497,7.250332,-5.447003,-0.338666,5.486766
498,-4.266658,-0.515371,0.042385,-7.433546
499,-4.978058,-0.494552,-0.10301,-6.813076
500,1.61266,0.03496,-0.395091,5.04558
501,2.278574,-0.513779,-1.014754,3.721725
502,2.898944,0.551284,0.357057,-2.044603
503,2.709106,0.450224,0.616815,-2.268734
504,1.154685,4.33183,1.977081,2.677697
505,1.053193,4.585995,1.924724,2.796518
506,-7.858917,-1.906814,0.83464,-6.296214
507,-8.657253,-2.626475,0.620495,-4.472421
508,3.587714,1.398129,0.008449,6.654679
509,5.047811,1.017383,-0.497085,8.595553
510,0.658724,1.374203,-0.769539,-6.480065
511,-0.444755,2.070983,-0.358801,-6.662673
512,-5.998005,-1.958108,-1.137429,1.544105
513,-5.881306,-2.122673,-0.693425,0.488482
514,-1.289248,-0.590961,0.636602,-1.258158
515,-1.470178,-0.84433,1.224681,-1.899907
516,-7.858917,-1.906814,0.83464,-6.296214
517,-8.316648,-2.391753,0.794611,-7.041611
518,-1.351846,-2.176703,1.7062,-0.523267
519,-1.350491,-2.187429,1.775484,0.307213
520,1.096498,4.540942,1.684935,1.678652
521,1.086417,4.692879,1.585786,1.368003
522,4.78796,-4.274429,-0.772731,7.52186
523,5.793953,-5.257496,-0.775068,6.543857
524,-6.04209,-1.567534,-1.734205,2.444361
525,-6.063444,-1.859885,-1.562763,3.425356
526,5.793953,-5.257496,-0.775068,6.543857
527,6.491091,-6.218569,-1.122653,5.388851
528,-1.00691,1.712681,-0.345074,-5.183515
529,-1.491093,1.921346,-0.468033,-5.367782
530,-8.657253,-2.626475,0.620495,-4.472421
531,-9.068583,-2.841448,0.346282,-4.839089
532,5.047811,1.017383,-0.497085,8.595553
533,6.751986,0.460448,-0.140155,9.428624
534,0.367181,0.110358,0.172013,2.246959
535,0.585411,0.1332,0.035509,2.144899
536,5.110756,-1.405665,0.139346,4.46907
537,5.559002,-1.329808,0.195617,4.624507
538,7.492746,6.330178,1.415398,4.110092
539,7.857885,7.105415,0.855803,4.571873
540,-1.208494,-2.516703,2.1438,-1.815607
541,-0.955984,-2.777413,2.53586,-1.837224
542,1.053193,4.585995,1.924724,2.796518
543,0.927944,4.818047,2.212198,2.495592
544,7.250332,-5.447003,-0.338666,5.486766
545,8.293169,-5.517313,0.210791,5.097859
546,1.819465,3.188473,0.544079,-0.014132
547,1.854647,3.209505,0.536268,0.833918
548,-5.881306,-2.122673,-0.693425,0.488482
549,-5.874788,-2.1282,-0.658925,-0.317606
550,7.857885,7.105415,0.855803,4.571873
551,8.376249,7.90766,1.134222,5.010462
552,0.927944,4.818047,2.212198,2.495592
553,0.63776,5.099138,2.558557,1.564347
